player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Shardul Thakur,13,13,46,431,16,3/19,26.93,9.23,17.50,0,0
Dwayne Bravo,16,16,53,533,14,4/22,38.07,9.96,22.92,0,0
Lungi Ngidi,7,7,26,156,11,4/10,14.18,6.00,14.18,1,0
Ravindra Jadeja,16,14,41,303,11,5/16,27.54,7.39,22.36,0,0
Deepak Chahar,12,12,38,278,10,4/13,27.80,7.28,22.90,0,0
Harbhajan Singh,13,12,32,270,7,5/18,38.57,8.48,27.28,0,0
Imran Tahir,6,6,20,188,6,4/12,31.33,9.09,20.66,0,0
Shane Watson,15,11,28,251,6,4/29,41.83,8.96,28.00,0,0
Karn Sharma,6,5,9,89,4,4/16,22.25,9.36,14.25,0,0
KM Asif,2,2,6,75,3,2/43,25.00,12.50,12.00,0,0
David Willey,3,3,10,95,2,1/24,47.50,9.50,30.00,0,0
