player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,66,32
Chris Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,30,27
Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13
Aaron Finch,10,9,1,134,46,16.75,100,134.00,0,0,6,8
Mayank Agarwal,11,11,1,120,30,12.00,94,127.65,0,0,9,5
Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5
Marcus Stoinis,7,7,3,99,29*,24.75,76,130.26,0,0,6,4
Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4
David Miller,3,3,1,74,26,37.00,64,115.62,0,0,3,2
Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,6,2
Manoj Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,4,1
Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1
Ankit Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,1,0
Mohit Sharma,9,4,3,10,4*,10.00,13,76.92,0,0,1,0
Mujeeb Ur Rahman,11,2,1,10,10*,10.00,7,142.85,0,0,2,0
Akshdeep Nath,1,1,0,9,9,9.00,13,69.23,0,0,1,0
Barinder Sran,6,4,3,3,2,3.00,7,42.85,0,0,0,0
