player_id,player_name,player_role
DC100,SHREYAS IYER,Batter
DC101,COLIN MUNRO,Batter
DC102,MANJOT KALRA,Batter
DC103,GAUTAM GAMBHIR,Batter
DC104,RISHABH PANT,WK Keeper - Batter
DC105,JASON ROY,Batter
DC106,NAMAN OJHA,Batter
DC107,PRITHVI SHAW,Batter
DC108,GURKEERAT MANN SINGH,Batter
DC109,CHRIS MORRIS,All-Rounder
DC110,GLENN MAXWELL,All-Rounder
DC111,ABHISHEK SHARMA,All-Rounder
DC112,DAN CHRISTIAN,All-Rounder
DC113,VIJAY SHANKAR,All-Rounder
DC114,SANDEEP LAMICHHANE,Bowler
DC115,TRENT BOULT,Bowler
DC116,JAYANT YADAV,Bowler
DC117,RAHUL TEWATIA,Bowler
DC118,AVESH KHAN,Bowler
DC119,HARSHAL PATEL,Bowler
DC120,AMIT MISHRA,Bowler
DC121,MOHAMMAD SHAMI,Bowler
DC122,SAYAN GHOSH,Bowler
DC123,SHAHBAZ NADEEM,Bowler
