player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Umesh Yadav,14,14,53,418,20,4/24,20.90,7.86,15.95,0,0
Yuzvendra Chahal,14,14,50,363,12,4/25,30.25,7.26,25.00,0,0
Mohammed Siraj,11,11,41,367,11,4/32,33.36,8.95,22.36,0,0
Chris Woakes,5,5,18,190,8,3/36,23.75,10.36,13.75,0,0
Tim Southee,8,8,29,261,5,3/24,52.20,9.00,34.80,0,0
Washington Sundar,7,7,20,192,4,3/16,48.00,9.60,30.00,0,0
Corey Anderson,3,3,8,115,3,2/18,38.33,13.26,17.33,0,0
Moeen Ali,5,5,13,97,3,3/7,32.33,7.36,26.33,0,0
Murugan Ashwin,2,2,7,53,3,3/21,17.66,7.57,14.00,0,0
Colin de Grandhomme,9,7,15,129,2,3/4,64.50,8.60,45.00,0,0
Kulwant Khejroliya,3,3,11,107,2,2/33,53.50,9.87,32.50,0,0
Pawan Negi,2,2,4,49,1,4/18,49.00,12.25,24.00,0,0
