player_id,player_name,player_role
KKR100,DINESH KARTHIK,WK Keeper - Batter
KKR101,ISHANK JAGGI,Batter
KKR102,SHUBMAN GILL,Batter
KKR103,NITISH RANA,Batter
KKR104,CHRIS LYNN,Batter
KKR105,RINKU SINGH,Batter
KKR106,ROBIN UTHAPPA,Batter
KKR107,ANDRE RUSSELL,All-Rounder
KKR108,MITCHELL JOHNSON,All-Rounder
KKR109,JAVON SEARLES,Bowler
KKR110,SHIVAM MAVI,Bowler
KKR111,KULDEEP YADAV,Bowler
KKR112,VINAY KUMAR,Bowler
KKR113,SUNIL NARINE,Bowler
KKR114,PIYUSH CHAWLA,Bowler
KKR115,PRASIDH KRISHNA,Bowler
KKR116,TOM CURRAN,Bowler
