player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Sunil Narine,16,16,61,467,17,5/19,27.47,7.65,21.52,0,0
Kuldeep Yadav,16,16,51,418,17,4/20,24.58,8.14,18.11,1,0
Piyush Chawla,15,15,49,412,14,4/17,29.42,8.40,21.00,0,0
Andre Russell,16,15,38,355,13,5/15,27.30,9.38,17.46,0,0
Prasidh Krishna,7,7,28,260,10,4/30,26.00,9.28,16.80,1,0
Tom Curran,5,5,10,118,6,3/29,19.66,11.60,10.16,0,0
Shivam Mavi,9,9,28,270,5,4/21,54.00,9.64,33.60,0,0
Nitish Rana,15,5,6,44,4,2/11,11.00,7.13,9.25,0,0
Vinay Kumar,2,2,4,65,2,4/40,32.50,16.95,11.50,0,0
Mitchell Johnson,6,6,21,216,2,3/26,108.00,10.28,63.00,0,0
Javon Searles,4,3,7,89,2,1/24,44.50,12.71,21.00,0,0
