player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16
Evin Lewis,13,13,0,382,65,29.38,276,138.40,0,2,32,24
Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17
Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11
Krunal Pandya,14,13,3,228,41*,22.80,157,145.22,0,0,22,10
Kieron Pollard,9,8,1,133,50,19.00,100,133.00,0,1,10,7
Ben Cutting,9,6,2,96,37,24.00,58,165.51,0,0,5,8
JP Duminy,6,4,3,36,23,36.00,40,90.00,0,0,3,1
Mayank Markande,14,6,4,21,7*,10.50,24,87.50,0,0,2,0
Mitchell McClenaghan,11,5,3,11,11*,5.50,10,110.00,0,0,1,1
Jasprit Bumrah,14,3,2,10,6*,10.00,11,90.90,0,0,1,0
Akila Dananjaya,1,1,1,4,4*,0.00,5,80.00,0,0,0,0
Mustafizur Rahman,7,2,1,1,1,1.00,3,33.33,0,0,0,0
Pradeep Sangwan,1,1,0,0,0*,0.00,4,0.00,0,0,0,0
