player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Kane Williamson,17,17,3,735,84,52.50,516,142.44,0,8,64,28
Shikhar Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,59,14
Manish Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,22,5
Yusuf Pathan,15,13,4,260,45*,28.88,200,130.00,0,0,22,11
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5
Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6
Wriddhiman Saha,11,10,2,122,35,15.25,102,119.60,0,0,17,1
Deepak Hooda,9,8,4,87,32*,21.75,81,107.40,0,0,2,3
Carlos Brathwaite,4,4,1,75,43*,25.00,48,156.25,0,0,1,8
Rashid Khan,17,7,2,59,34*,11.80,31,190.32,0,0,3,6
Shreevats Goswami,6,3,0,52,35,17.33,40,130.00,0,0,6,1
Mohammad Nabi,2,2,0,18,14,9.00,12,150.00,0,0,3,0
Bhuvneshwar Kumar,12,4,2,13,7,6.50,16,81.25,0,0,1,0
Billy Stanlake,4,1,1,5,5*,0.00,2,250.00,0,0,1,0
Basil Thampi,4,2,1,3,3,3.00,6,50.00,0,0,0,0
Siddarth Kaul,17,4,1,3,2,1.00,14,21.42,0,0,0,0
Ricky Bhui,1,1,0,0,0*,0.00,5,0.00,0,0,0,0
Sandeep Sharma,12,3,1,0,0*,0.00,4,0.00,0,0,0,0
