player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Trent Boult,14,14,52,466,18,4/18,25.88,8.84,17.55,0,0
Amit Mishra,10,10,37,264,12,5/17,22.00,7.13,18.50,0,0
Harshal Patel,5,5,17,167,7,5/27,23.85,9.54,15.00,0,0
Rahul Tewatia,8,8,22,173,6,3/18,28.83,7.86,22.00,0,0
Sandeep Lamichhane,3,3,12,82,5,3/36,16.40,6.83,14.40,0,0
Glenn Maxwell,12,10,16,132,5,2/15,26.40,8.25,19.20,0,0
Avesh Khan,6,6,19,204,4,3/13,51.00,10.73,28.50,0,0
Dan Christian,4,4,12,101,4,2/10,25.25,8.53,17.75,0,0
Liam Plunkett,7,7,25,225,4,3/17,56.25,9.00,37.50,0,0
Shahbaz Nadeem,6,6,15,161,3,3/16,53.66,10.73,30.00,0,0
Mohammad Shami,4,4,14,144,3,3/15,48.00,10.40,27.66,0,0
Chris Morris,4,4,14,143,3,4/23,47.66,10.21,28.00,0,0
Vijay Shankar,13,4,5,58,1,2/19,58.00,11.60,30.00,0,0
