player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Varun Chakaravarthy,17,17,68,448,18,5/20,24.88,6.58,22.66,0,0
Sunil Narine,14,14,56,361,16,5/19,22.56,6.44,21.00,1,0
Lockie Ferguson,8,8,30,224,13,3/15,17.23,7.46,13.84,0,0
Prasidh Krishna,10,10,38,351,12,4/30,29.25,9.11,19.25,0,0
Shivam Mavi,9,9,32,233,11,4/21,21.18,7.24,17.54,1,0
Andre Russell,10,8,19,188,11,5/15,17.09,9.89,10.36,0,1
Pat Cummins,7,7,27,237,9,4/34,26.33,8.83,17.88,0,0
Shakib Al Hasan,8,8,26,187,4,3/17,46.75,7.19,39.00,0,0
Venkatesh Iyer,10,4,8,69,3,2/29,23.00,8.11,17.00,0,0
Tim Southee,3,3,12,95,3,3/24,31.66,7.91,24.00,0,0
