player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Glenn Maxwell,15,14,2,513,78,42.75,356,144.10,0,6,48,21
Devdutt Padikkal,14,14,1,411,101*,31.61,328,125.30,1,1,44,14
Virat Kohli,15,15,1,405,72*,28.92,339,119.46,0,3,43,9
AB de Villiers,15,14,4,313,76*,31.30,211,148.34,0,2,23,16
K.S Bharat,8,7,2,191,78*,38.20,156,122.43,0,1,10,8
Rajat Patidar,4,4,0,71,31,17.75,62,114.51,0,0,3,3
Kyle Jamieson,9,7,3,65,16*,16.25,55,118.18,0,0,5,3
Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2
Harshal Patel,15,8,4,59,31,14.75,46,128.26,0,0,6,2
Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0
Mohammed Siraj,15,4,3,20,12*,20.00,26,76.92,0,0,1,1
Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0
Yuzvendra Chahal,15,2,2,10,8*,0.00,27,37.03,0,0,0,0
Sachin Baby,1,1,0,7,7,7.00,17,41.17,0,0,0,0
Daniel Sams,2,2,1,6,3*,6.00,6,100.00,0,0,0,0
Navdeep Saini,2,1,0,2,2,2.00,4,50.00,0,0,0,0
George Garton,5,3,2,2,2*,2.00,4,50.00,0,0,0,0
Tim David,1,1,0,1,1,1.00,3,33.33,0,0,0,0
Wanindu Hasaranga,2,2,1,1,1*,1.00,2,50.00,0,0,0,0
