player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Harshal Patel,15,15,56,459,32,5/27,14.34,8.14,10.56,1,1
Yuzvendra Chahal,15,15,53,374,18,4/25,20.77,7.05,17.66,0,0
Mohammed Siraj,15,15,52,353,11,4/32,32.09,6.78,28.36,0,0
Kyle Jamieson,9,9,28,269,9,3/41,29.88,9.60,18.66,0,0
Shahbaz Ahmed,11,6,14,92,7,3/7,13.14,6.57,12.00,0,0
Dan Christian,9,9,16,155,4,2/10,38.75,9.30,25.00,0,0
Washington Sundar,6,6,16,118,3,3/16,39.33,7.37,32.00,0,0
Glenn Maxwell,15,6,16,135,3,2/15,45.00,8.43,32.00,0,0
George Garton,5,5,15,135,3,1/27,45.00,9.00,30.00,0,0
Daniel Sams,2,2,6,39,1,1/24,39.00,6.50,36.00,0,0
Kane Richardson,1,1,3,29,1,3/13,29.00,9.66,18.00,0,0
