player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Rohit Sharma,13,13,0,381,63,29.30,299,127.42,0,1,33,14
Suryakumar Yadav,14,14,0,317,82,22.64,221,143.43,0,2,40,10
Quinton de Kock,11,11,1,297,70*,29.70,256,116.01,0,2,29,7
Kieron Pollard,14,13,5,245,87*,30.62,165,148.48,0,1,16,16
Ishan Kishan,10,10,1,241,84,26.77,180,133.88,0,2,21,10
Krunal Pandya,13,12,2,143,39,14.30,123,116.26,0,0,10,6
Hardik Pandya,12,11,2,127,40*,14.11,112,113.39,0,0,11,5
Saurabh Tiwary,5,4,2,115,50*,57.50,97,118.55,0,1,10,2
Chris Lynn,1,1,0,49,49,49.00,35,140.00,0,0,4,3
Jayant Yadav,5,3,1,34,23,17.00,26,130.76,0,0,2,1
Anmolpreet Singh,1,1,0,16,16,16.00,14,114.28,0,0,2,1
Adam Milne,4,3,1,16,15,8.00,17,94.11,0,0,0,1
Jasprit Bumrah,14,7,5,16,5*,8.00,17,94.11,0,0,2,0
Rahul Chahar,11,5,0,14,8,2.80,15,93.33,0,0,1,0
Nathan Coulter-Nile,5,2,0,4,3,2.00,5,80.00,0,0,0,0
Trent Boult,14,4,4,1,1*,0.00,4,25.00,0,0,0,0
Piyush Chawla,1,1,0,0,0*,0.00,2,0.00,0,0,0,0
Marco Jansen,2,2,0,0,0*,0.00,3,0.00,0,0,0,0
Jimmy Neesham,3,2,0,0,0*,0.00,2,0.00,0,0,0,0
