player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Shardul Thakur,16,16,60,527,21,3/19,25.09,8.80,17.09,0,0
Deepak Chahar,15,15,54,451,14,4/13,32.21,8.35,23.14,2,0
Dwayne Bravo,11,11,33,263,14,4/22,18.78,7.81,14.42,0,0
Ravindra Jadeja,16,16,49,346,13,5/16,26.61,7.06,22.61,0,0
Josh Hazlewood,9,9,35,293,11,3/24,26.63,8.37,19.09,0,0
Sam Curran,9,9,33,328,9,4/11,36.44,9.93,22.00,0,0
Moeen Ali,15,10,25,161,6,3/7,26.83,6.35,25.33,0,0
Lungi Ngidi,3,3,12,125,5,4/10,25.00,10.41,14.40,0,0
Imran Tahir,1,1,4,16,2,4/12,8.00,4.00,12.00,0,0
KM Asif,1,1,2,18,1,2/43,18.00,8.30,13.00,0,0
