player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
KL Rahul,13,13,3,626,98*,62.60,451,138.80,0,6,48,30
Mayank Agarwal,12,12,1,441,99*,40.09,314,140.44,0,4,42,18
Chris Gayle,10,10,1,193,46,21.44,154,125.32,0,0,21,8
Deepak Hooda,12,11,1,160,64,16.00,123,130.08,0,1,9,9
Shahrukh Khan,11,10,3,153,47,21.85,114,134.21,0,0,9,10
Aiden Markram,6,6,1,146,42,29.20,119,122.68,0,0,12,4
Nicholas Pooran,12,11,0,85,32,7.72,76,111.84,0,0,3,5
Harpreet Brar,7,5,5,64,25*,0.00,58,110.34,0,0,3,2
Chris Jordan,4,2,0,32,30,16.00,21,152.38,0,0,1,3
Moises Henriques,5,4,2,31,14,15.50,32,96.87,0,0,0,1
Dawid Malan,1,1,0,26,26,26.00,26,100.00,0,0,1,1
Prabhsimran Singh,2,2,0,19,12,9.50,23,82.60,0,0,1,1
Nathan Ellis,3,2,1,18,12,18.00,16,112.50,0,0,0,1
Mandeep Singh,1,1,0,15,15,15.00,14,107.14,0,0,2,0
Jhye Richardson,3,2,0,15,15,7.50,24,62.50,0,0,2,0
Murugan Ashwin,3,2,0,15,9,7.50,24,62.50,0,0,1,0
Mohammad Shami,14,4,3,13,9*,13.00,17,76.47,0,0,0,0
Fabian Allen,4,3,2,6,6,6.00,12,50.00,0,0,0,0
Arshdeep Singh,12,2,2,2,1*,0.00,3,66.66,0,0,0,0
Ravi Bishnoi,9,1,0,1,1,1.00,4,25.00,0,0,0,0
