player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Ruturaj Gaikwad,16,16,2,635,101*,45.35,466,136.26,1,4,64,23
Faf du Plessis,16,16,2,633,95*,45.21,458,138.20,0,6,60,23
Moeen Ali,15,15,1,357,58,25.50,260,137.30,0,1,31,19
Ambati Rayudu,16,13,4,257,72*,28.55,170,151.17,0,2,16,17
Ravindra Jadeja,16,12,9,227,62*,75.66,156,145.51,0,1,19,9
Suresh Raina,12,11,2,160,54,17.77,128,125.00,0,1,13,9
Robin Uthappa,4,4,0,115,63,28.75,84,136.90,0,1,8,5
MS Dhoni,16,11,4,114,18*,16.28,107,106.54,0,0,12,3
Sam Curran,9,4,1,56,34,18.66,29,193.10,0,0,5,3
Dwayne Bravo,11,3,2,47,23,47.00,18,261.11,0,0,3,4
Shardul Thakur,16,4,2,5,3*,2.50,5,100.00,0,0,0,0
Deepak Chahar,15,2,2,1,1*,0.00,1,100.00,0,0,0,0
