player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Kagiso Rabada,13,13,48.0,406,23,33/4,17.65,8.45,12.52,2,0
Rahul Chahar,13,13,46.4,360,14,25/3,25.71,7.71,20.00,0,0
Arshdeep Singh,14,14,50.0,385,10,37/3,38.50,7.70,30.00,0,0
Rishi Dhawan,6,6,19.0,156,6,36/2,26.00,8.21,19.00,0,0
Liam Livingstone,14,12,23.0,202,6,27/3,33.66,8.78,23.00,0,0
Odean Smith,6,6,15.0,178,6,30/4,29.66,11.86,15.00,1,0
Harpreet Brar,5,5,16.0,146,4,26/3,36.50,9.12,24.00,0,0
Nathan Ellis,2,2,6.0,55,3,40/3,18.33,9.16,12.00,0,0
Vaibhav Arora,5,5,17.5,164,3,21/2,54.66,9.19,35.66,0,0
Sandeep Sharma,5,5,20.0,153,2,18/1,76.50,7.65,60.00,0,0
