player_id,player_name,player_role
DC100,RISHABH PANT,WK Keeper - Batter
DC101,DAVID WARNER,Batter
DC102,MANDEEP SINGH,Batter
DC103,PRITHVI SHAW,Batter
DC104,ROVMAN POWELL,Batter
DC105,K.S BHARAT,Batter
DC106,TIM SEIFERT,Batter
DC107,RIPAL PATEL,Batter
DC108,SARFARAZ KHAN,Batter
DC109,YASH DHULL,Batter
DC110,AXAR PATEL,All-Rounder
DC111,LALIT YADAV,All-Rounder
DC112,MITCHELL MARSH,All-Rounder
DC113,KAMLESH NAGARKOTI,Bowler
DC114,PRAVIN DUBEY,Bowler
DC115,VICKY OSTWAL,Bowler
DC116,ANRICH NORTJE,Bowler
DC117,CHETAN SAKARIYA,Bowler
DC118,KULDEEP YADAV,Bowler
DC119,LUNGI NGIDI,Bowler
DC120,MUSTAFIZUR RAHMAN,Bowler
DC121,SHARDUL THAKUR,Bowler
DC122,KHALEEL AHMED,Bowler
