player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Jasprit Bumrah,14,14,53.2,383,15,10/5,25.53,7.18,21.33,0,1
Daniel Sams,11,11,42.0,370,13,30/4,28.46,8.80,19.38,1,0
Murugan Ashwin,8,8,29.0,228,9,14/2,25.33,7.86,19.33,0,0
Riley Meredith,8,8,28.0,236,8,24/2,29.50,8.42,21.00,0,0
Ramandeep Singh,5,3,6.0,54,6,20/3,9.00,9.00,6.00,0,0
Jaydev Unadkat,5,5,20.0,190,6,32/2,31.66,9.50,20.00,0,0
Tymal Mills,5,5,17.0,190,6,35/3,31.66,11.17,17.00,0,0
Kumar Kartikeya Singh,4,4,13.0,102,5,22/2,20.40,7.84,15.60,0,0
Basil Thampi,5,5,16.0,152,5,35/3,30.40,9.50,19.20,0,0
Kieron Pollard,11,6,14.0,125,4,8/2,31.25,8.92,21.00,0,0
Hrithik Shokeen,5,5,15.0,127,2,47/2,63.50,8.46,45.00,0,0
Mayank Markande,2,2,7.0,57,1,26/1,57.00,8.14,42.00,0,0
Fabian Allen,1,1,4.0,46,1,46/1,46.00,11.50,24.00,0,0
Dewald Brevis,7,1,0.3,8,1,8/1,8.00,16.00,3.00,0,0
