player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Umran Malik,14,14,49.1,444,22,25/5,20.18,9.03,13.40,1,1
T Natarajan,11,11,43.0,406,18,10/3,22.55,9.44,14.33,0,0
Bhuvneshwar Kumar,14,14,52.1,383,12,22/3,31.91,7.34,26.08,0,0
Jagadeesha Suchith,5,5,18.0,140,7,12/2,20.00,7.77,15.42,0,0
Marco Jansen,8,8,32.0,274,7,25/3,39.14,8.56,27.42,0,0
Washington Sundar,9,8,28.0,239,6,21/2,39.83,8.53,28.00,0,0
Romario Shepherd,3,3,9.0,98,3,42/2,32.66,10.88,18.00,0,0
Fazalhaq Farooqi,3,3,12.0,110,2,32/2,55.00,9.16,36.00,0,0
Kartik Tyagi,2,2,8.0,79,1,42/1,79.00,9.87,48.00,0,0
Aiden Markram,14,4,6.0,64,1,8/1,64.00,10.66,36.00,0,0
Shreyas Gopal,1,1,3.0,34,1,34/1,34.00,11.33,18.00,0,0
Sean Abbott,1,1,4.0,47,1,47/1,47.00,11.75,24.00,0,0
