player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13
AB de Villiers,13,13,3,442,82*,44.20,287,154.00,0,5,31,26
Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10
Moeen Ali,11,10,2,220,66,27.50,133,165.41,0,2,16,17
Marcus Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10
Gurkeerat Mann Singh,3,3,0,98,65,32.66,70,140.00,0,1,11,2
Shimron Hetmyer,5,5,0,90,75,18.00,73,123.28,0,1,4,7
Akshdeep Nath,8,5,0,61,24,12.20,57,107.01,0,0,5,2
Colin de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2
Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3
Umesh Yadav,11,7,5,25,14,12.50,25,100.00,0,0,3,1
Prayas Ray Barman,1,1,0,19,19,19.00,24,79.16,0,0,2,0
Heinrich Klaasen,3,2,0,9,6,4.50,10,90.00,0,0,0,0
Tim Southee,3,1,1,9,9*,0.00,9,100.00,0,0,0,0
Pawan Negi,7,4,0,9,5,2.25,12,75.00,0,0,1,0
Yuzvendra Chahal,14,3,1,6,4,3.00,16,37.50,0,0,0,0
Mohammed Siraj,9,4,3,4,3*,4.00,14,28.57,0,0,0,0
Navdeep Saini,13,2,1,2,2,2.00,4,50.00,0,0,0,0
Washington Sundar,3,2,0,1,1,0.50,3,33.33,0,0,0,0
