player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Jasprit Bumrah,16,16,61,409,19,4/14,21.52,6.63,19.47,0,0
Lasith Malinga,12,12,45,438,16,5/13,27.37,9.76,16.81,2,0
Hardik Pandya,16,16,42,390,14,3/20,27.85,9.17,18.21,0,0
Rahul Chahar,13,13,47,308,13,4/27,23.69,6.55,21.69,0,0
Krunal Pandya,16,16,46,335,12,3/14,27.91,7.28,23.00,0,0
Alzarri Joseph,3,3,8,87,6,6/12,14.50,10.03,8.66,0,1
Jason Behrendorff,5,5,19,165,5,2/22,33.00,8.68,22.80,0,0
Mitchell McClenaghan,5,5,18,142,3,4/21,47.33,7.88,36.00,0,0
Mayank Markande,3,3,6,59,1,4/23,59.00,9.83,36.00,0,0
Anukul Roy,1,1,2,11,1,1/11,11.00,5.50,12.00,0,0
Ben Cutting,3,1,2,27,1,2/20,27.00,13.50,12.00,0,0
Jayant Yadav,2,2,7,50,1,1/23,50.00,7.14,42.00,0,0
