player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Imran Tahir,17,17,64,431,26,4/12,16.57,6.69,14.84,2,0
Deepak Chahar,17,17,64,482,22,4/13,21.90,7.47,17.59,0,0
Harbhajan Singh,11,11,44,312,16,5/18,19.50,7.09,16.50,0,0
Ravindra Jadeja,16,16,54,343,15,5/16,22.86,6.35,21.60,0,0
Dwayne Bravo,12,12,41,330,11,4/22,30.00,8.01,22.45,0,0
Shardul Thakur,10,9,30,281,8,3/19,35.12,9.36,22.50,0,0
Mitchell Santner,4,4,14,94,4,2/13,23.50,6.71,21.00,0,0
Scott Kuggeleijn,2,2,8,71,2,2/37,35.50,8.87,24.00,0,0
Karn Sharma,1,1,3,33,1,4/16,33.00,11.64,17.00,0,0
Mohit Sharma,1,1,3,27,1,4/14,27.00,9.00,18.00,0,0
