player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Khaleel Ahmed,9,9,35,287,19,3/21,15.10,8.23,11.00,0,0
Rashid Khan,15,15,60,377,17,3/19,22.17,6.28,21.17,0,0
Bhuvneshwar Kumar,15,15,59,461,13,5/19,35.46,7.81,27.23,0,0
Sandeep Sharma,11,11,42,352,12,4/20,29.33,8.25,21.33,0,0
Mohammad Nabi,8,8,29,194,8,4/11,24.25,6.65,21.87,1,0
Siddarth Kaul,7,7,27,242,6,4/29,40.33,8.96,27.00,0,0
Shakib Al Hasan,3,3,11,95,2,3/17,47.50,8.76,32.50,0,0
Shahbaz Nadeem,3,3,9,90,2,3/16,45.00,10.00,27.00,0,0
Abhishek Sharma,3,2,2,21,1,2/4,21.00,10.50,12.00,0,0
Deepak Hooda,11,2,2,21,1,2/16,21.00,10.50,12.00,0,0
Vijay Shankar,15,5,8,70,1,2/19,70.00,8.75,48.00,0,0
