player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
David Warner,12,12,2,692,100*,69.20,481,143.86,1,8,57,21
Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18
Manish Pandey,12,11,3,344,83*,43.00,263,130.79,0,3,34,6
Vijay Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12
Kane Williamson,9,9,2,156,70*,22.28,130,120.00,0,1,12,5
Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7
Wriddhiman Saha,5,5,0,86,28,17.20,53,162.26,0,0,13,1
Martin Guptill,3,3,0,81,36,27.00,53,152.83,0,0,4,7
Deepak Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1
Yusuf Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1
Rashid Khan,15,8,3,34,17*,6.80,23,147.82,0,0,2,2
Bhuvneshwar Kumar,15,5,2,12,7*,4.00,19,63.15,0,0,1,0
Abhishek Sharma,3,3,1,9,5*,4.50,9,100.00,0,0,1,0
Shakib Al Hasan,3,1,0,9,9,9.00,10,90.00,0,0,0,0
Ricky Bhui,1,1,0,7,7,7.00,12,58.33,0,0,0,0
Sandeep Sharma,11,2,2,6,5*,0.00,3,200.00,0,0,1,0
Basil Thampi,3,1,1,1,1*,0.00,1,100.00,0,0,0,0
Siddarth Kaul,7,2,1,0,0*,0.00,1,0.00,0,0,0,0
Khaleel Ahmed,9,1,0,0,0*,0.00,1,0.00,0,0,0,0
