player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Kagiso Rabada,12,12,47,368,25,4/21,14.72,7.82,11.28,2,0
Chris Morris,9,9,33,306,13,4/23,23.53,9.27,15.23,0,0
Ishant Sharma,13,13,46,349,13,5/12,26.84,7.58,21.23,0,0
Amit Mishra,11,11,40,270,11,5/17,24.54,6.75,21.81,0,0
Axar Patel,14,14,51,364,10,4/21,36.40,7.13,30.60,0,0
Keemo Paul,8,8,27,237,9,3/17,26.33,8.72,18.11,0,0
Sandeep Lamichhane,6,6,23,210,8,3/36,26.25,9.13,17.25,0,0
Trent Boult,5,5,19,163,5,4/18,32.60,8.57,22.80,0,0
Harshal Patel,2,2,8,77,2,5/27,38.50,9.62,24.00,0,0
Rahul Tewatia,5,3,6,42,2,3/18,21.00,6.63,19.00,0,0
Jagadeesha Suchith,1,1,4,28,2,2/14,14.00,7.00,12.00,0,0
Sherfane Rutherford,7,6,7,59,1,1/6,59.00,8.63,41.00,0,0
