player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
KL Rahul,14,14,3,593,100*,53.90,438,135.38,1,6,49,25
Chris Gayle,13,13,1,490,99*,40.83,319,153.60,0,4,45,34
Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14
David Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7
Sarfaraz Khan,8,5,1,180,67,45.00,143,125.87,0,1,19,4
Nicholas Pooran,7,6,0,168,48,28.00,107,157.00,0,0,10,14
Mandeep Singh,13,12,8,165,33*,41.25,120,137.50,0,0,10,4
Sam Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3
Ravichandran Ashwin,14,6,1,42,17*,8.40,28,150.00,0,0,3,3
Harpreet Brar,2,1,1,20,20*,0.00,12,166.66,0,0,2,1
Prabhsimran Singh,1,1,0,16,16,16.00,17,94.11,0,0,1,1
Karun Nair,1,1,0,5,5,5.00,6,83.33,0,0,0,0
Hardus Viljoen,6,3,1,3,2*,1.50,7,42.85,0,0,0,0
Murugan Ashwin,10,3,2,3,1*,3.00,5,60.00,0,0,0,0
Mohammad Shami,14,2,1,1,1*,1.00,2,50.00,0,0,0,0
Mujeeb Ur Rahman,5,3,2,0,0*,0.00,4,0.00,0,0,0,0
Andrew Tye,6,1,1,0,0*,0.00,2,0.00,0,0,0,0
