player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Mohammad Shami,14,14,54,469,19,3/15,24.68,8.68,17.05,0,0
Ravichandran Ashwin,14,14,55,400,15,4/34,26.66,7.27,22.00,0,0
Sam Curran,9,9,33,323,10,4/11,32.30,9.78,19.80,1,0
Hardus Viljoen,6,6,23,222,7,2/39,31.71,9.65,19.71,0,0
Murugan Ashwin,10,10,34,255,5,3/21,51.00,7.50,40.80,0,0
Mujeeb Ur Rahman,5,5,19,191,3,3/27,63.66,10.05,38.00,0,0
Arshdeep Singh,3,3,10,109,3,5/32,36.33,10.90,20.00,0,0
Ankit Rajpoot,4,4,16,152,3,5/14,50.66,9.50,32.00,0,0
Andrew Tye,6,6,22,233,3,5/17,77.66,10.59,44.00,0,0
Varun Chakaravarthy,1,1,3,35,1,5/20,35.00,11.66,18.00,0,0
