player_id,player_name,player_role
DC100,RISHABH PANT,WK Keeper - Batter
DC101,AJINKYA RAHANE,Batter
DC102,SHIKHAR DHAWAN,Batter
DC103,SHIMRON HETMYER,Batter
DC104,ALEX CAREY,Batter
DC105,PRITHVI SHAW,Batter
DC106,SHREYAS IYER,Batter
DC107,MARCUS STOINIS,All-Rounder
DC108,RAVICHANDRAN ASHWIN,All-Rounder
DC109,DANIEL SAMS,All-Rounder
DC110,LALIT YADAV,All-Rounder
DC111,AXAR PATEL,All-Rounder
DC112,KEEMO PAUL,All-Rounder
DC113,KAGISO RABADA,Bowler
DC114,SANDEEP LAMICHHANE,Bowler
DC115,ISHANT SHARMA,Bowler
DC116,MOHIT SHARMA,Bowler
DC117,PRAVIN DUBEY,Bowler
DC118,AVESH KHAN,Bowler
DC119,TUSHAR DESHPANDE,Bowler
DC120,ANRICH NORTJE,Bowler
DC121,HARSHAL PATEL,Bowler
DC122,AMIT MISHRA,Bowler
