player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Rashid Khan,16,16,64,344,20,3/19,17.20,5.37,19.20,0,0
T Natarajan,16,16,63,504,16,2/24,31.50,8.02,23.56,0,0
Jason Holder,7,7,28,233,14,4/52,16.64,8.32,12.00,0,0
Sandeep Sharma,13,13,52,374,14,4/20,26.71,7.19,22.28,0,0
Khaleel Ahmed,7,7,25,242,8,3/21,30.25,9.42,19.25,0,0
Shahbaz Nadeem,7,7,22,178,5,3/16,35.60,8.09,26.40,0,0
Vijay Shankar,7,5,13,82,4,2/19,20.50,6.22,19.75,0,0
Bhuvneshwar Kumar,4,4,14,99,3,5/19,33.00,6.98,28.33,0,0
Siddarth Kaul,1,1,4,64,2,4/29,32.00,16.00,12.00,0,0
Abhishek Sharma,8,6,10,91,2,2/4,45.50,9.10,30.00,0,0
Basil Thampi,1,1,4,46,1,3/29,46.00,11.50,24.00,0,0
Abdul Samad,12,3,7,96,1,1/41,96.00,13.71,42.00,0,0
