player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9
Eoin Morgan,14,14,4,418,68*,41.80,302,138.41,0,1,32,24
Nitish Rana,14,14,0,352,87,25.14,254,138.58,0,3,43,12
Rahul Tripathi,11,11,1,230,81,23.00,181,127.07,0,1,21,10
Dinesh Karthik,14,14,2,169,58,14.08,134,126.11,0,1,20,4
Pat Cummins,14,11,4,146,53*,20.85,114,128.07,0,1,9,8
Sunil Narine,10,9,0,121,64,13.44,85,142.35,0,1,10,8
Andre Russell,10,9,0,117,25,13.00,81,144.44,0,0,9,9
Lockie Ferguson,5,2,2,43,24*,0.00,29,148.27,0,0,4,1
Kamlesh Nagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,0
Tom Banton,2,2,0,18,10,9.00,20,90.00,0,0,1,1
Kuldeep Yadav,5,2,1,13,12,13.00,21,61.90,0,0,1,0
Rinku Singh,1,1,0,11,11,11.00,11,100.00,0,0,1,0
Shivam Mavi,8,3,1,10,9,5.00,14,71.42,0,0,1,0
Varun Chakaravarthy,13,3,1,10,7*,5.00,15,66.66,0,0,0,0
Prasidh Krishna,6,2,2,2,2*,0.00,4,50.00,0,0,0,0
Nikhil Naik,1,1,0,1,1,1.00,3,33.33,0,0,0,0
