player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Sam Curran,14,13,42,344,13,4/11,26.46,8.19,19.38,0,0
Deepak Chahar,14,14,52,396,12,4/13,33.00,7.61,26.00,0,0
Shardul Thakur,9,9,32,275,10,3/19,27.50,8.50,19.40,0,0
Lungi Ngidi,4,4,16,167,9,4/10,18.55,10.43,10.66,0,0
Piyush Chawla,7,7,21,191,6,4/17,31.83,9.09,21.00,0,0
Ravindra Jadeja,14,13,36,318,6,5/16,53.00,8.75,36.33,0,0
Dwayne Bravo,6,6,21,180,6,4/22,30.00,8.57,21.00,0,0
Karn Sharma,5,5,19,165,5,4/16,33.00,8.68,22.80,0,0
Mitchell Santner,2,2,7,53,2,2/13,26.50,7.57,21.00,0,0
Imran Tahir,3,3,11,76,1,4/12,76.00,6.90,66.00,0,0
Josh Hazlewood,3,3,10,64,1,3/24,64.00,6.40,60.00,0,0
