player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Devdutt Padikkal,15,15,0,473,74,31.53,379,124.80,0,5,51,8
Virat Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
AB de Villiers,15,14,4,454,73*,45.40,286,158.74,0,5,33,23
Aaron Finch,12,12,0,268,52,22.33,241,111.20,0,1,28,8
Shivam Dube,11,9,2,129,27*,18.42,105,122.85,0,0,5,9
Washington Sundar,15,9,3,111,30,18.50,95,116.84,0,0,10,2
Josh Philippe,5,5,1,78,33,19.50,77,101.29,0,0,9,1
Gurkeerat Mann Singh,8,5,5,71,21*,0.00,80,88.75,0,0,8,0
Chris Morris,9,5,1,34,25*,8.50,21,161.90,0,0,2,3
Navdeep Saini,13,3,2,27,12*,27.00,27,100.00,0,0,3,0
Mohammed Siraj,9,3,2,17,10*,17.00,14,121.42,0,0,2,0
Isuru Udana,10,4,1,15,10*,5.00,11,136.36,0,0,1,1
Moeen Ali,3,3,0,12,11,4.00,16,75.00,0,0,1,0
Shahbaz Ahmed,2,1,1,1,1*,0.00,1,100.00,0,0,0,0
Dale Steyn,3,1,1,1,1*,0.00,2,50.00,0,0,0,0
Yuzvendra Chahal,15,2,1,1,1,1.00,3,33.33,0,0,0,0
Umesh Yadav,2,1,0,0,0*,0.00,2,0.00,0,0,0,0
