player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Yuzvendra Chahal,15,15,57,405,21,4/25,19.28,7.08,16.33,0,0
Mohammed Siraj,9,9,27,236,11,4/32,21.45,8.68,14.81,0,0
Chris Morris,9,9,31,210,11,4/23,19.09,6.63,17.27,1,0
Isuru Udana,10,10,29,282,8,2/41,35.25,9.72,21.75,0,0
Washington Sundar,15,15,50,298,8,3/16,37.25,5.96,37.50,0,0
Navdeep Saini,13,13,45,379,6,2/24,63.16,8.29,45.66,0,0
Shivam Dube,11,5,9,73,4,2/15,18.25,8.11,13.50,0,0
Adam Zampa,3,3,11,92,2,6/19,46.00,8.36,33.00,0,0
Shahbaz Ahmed,2,2,6,44,2,3/7,22.00,7.33,18.00,0,0
Dale Steyn,3,3,11,133,1,3/11,133.00,11.40,70.00,0,0
Moeen Ali,3,3,5,42,1,3/7,42.00,8.40,30.00,0,0
