player_id,player_name,player_role
SRH100,DAVID WARNER,Batter
SRH101,WRIDDHIMAN SAHA,Batter
SRH102,JONNY BAIRSTOW,WK Keeper - Batter
SRH103,SANJAY YADAV,Batter
SRH104,ABDUL SAMAD,Batter
SRH105,SHREEVATS GOSWAMI,Batter
SRH106,VIRAT SINGH,Batter
SRH107,KANE WILLIAMSON,Batter
SRH108,MANISH PANDEY,Batter
SRH109,PRIYAM GARG,Batter
SRH110,MITCHELL MARSH,All-Rounder
SRH111,MOHAMMAD NABI,All-Rounder
SRH112,FABIAN ALLEN,All-Rounder
SRH113,ABHISHEK SHARMA,All-Rounder
SRH114,SANDEEP BAVANAKA,All-Rounder
SRH115,JASON HOLDER,All-Rounder
SRH116,VIJAY SHANKAR,All-Rounder
SRH117,RASHID KHAN,Bowler
SRH118,KHALEEL AHMED,Bowler
SRH119,SANDEEP SHARMA,Bowler
SRH120,BASIL THAMPI,Bowler
SRH121,BILLY STANLAKE,Bowler
SRH122,BHUVNESHWAR KUMAR,Bowler
SRH123,T NATARAJAN,Bowler
SRH124,SHAHBAZ NADEEM,Bowler
SRH125,SIDDHARTH KAUL,Bowler
SRH126,PRITHVI RAJ YARRA,Bowler
