player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Mohammad Shami,14,14,53,460,20,3/15,23.00,8.57,16.10,0,0
Ravi Bishnoi,14,14,51,376,12,3/24,31.33,7.37,25.50,0,0
Murugan Ashwin,9,9,31,235,10,3/21,23.50,7.46,18.90,0,0
Arshdeep Singh,8,8,25,218,9,5/32,24.22,8.77,16.55,0,0
Chris Jordan,9,9,31,304,9,4/11,33.77,9.65,21.00,0,0
Sheldon Cottrell,6,6,20,176,6,2/17,29.33,8.80,20.00,0,0
Glenn Maxwell,13,7,21,169,3,2/15,56.33,8.04,42.00,0,0
Jimmy Neesham,5,5,15,148,2,3/12,74.00,9.86,45.00,0,0
Krishnappa Gowtham,2,2,8,84,1,2/12,84.00,10.50,48.00,0,0
