player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
Mayank Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
Nicholas Pooran,14,14,4,353,77,35.30,208,169.71,0,2,23,25
Chris Gayle,7,7,0,288,99,41.14,210,137.14,0,3,15,23
Mandeep Singh,7,7,1,130,66*,21.66,109,119.26,0,1,10,4
Glenn Maxwell,13,11,4,108,32,15.42,106,101.88,0,0,9,0
Deepak Hooda,7,5,4,101,62*,101.00,71,142.25,0,1,5,5
Krishnappa Gowtham,2,2,1,42,22*,42.00,27,155.55,0,0,3,2
Sarfaraz Khan,5,3,1,33,14*,16.50,29,113.79,0,0,5,0
Chris Jordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0
Jimmy Neesham,5,3,1,19,10*,9.50,18,105.55,0,0,0,1
Karun Nair,4,3,1,16,15*,8.00,14,114.28,0,0,2,0
Prabhsimran Singh,2,2,0,15,11,7.50,15,100.00,0,0,2,0
Ravi Bishnoi,14,3,2,7,6*,7.00,12,58.33,0,0,1,0
Murugan Ashwin,9,1,0,4,4,4.00,4,100.00,0,0,0,0
Mohammad Shami,14,3,2,2,2*,2.00,3,66.66,0,0,0,0
Mujeeb Ur Rahman,2,1,0,1,1,1.00,3,33.33,0,0,0,0
Sheldon Cottrell,6,1,0,0,0*,0.00,2,0.00,0,0,0,0
Arshdeep Singh,8,1,0,0,0*,0.00,3,0.00,0,0,0,0
