player_id,player_name
RR121,SANDEEP SHARMA
RR122,TRENT BOULT
RR123,MURUGAN ASHWIN
RR124,YUZVENDRA CHAHAL
RR125,ADAM ZAMPA
RCB100,FAF DU PLESSIS
RCB101,FINN ALLEN
RCB102,RAJAT PATIDAR
RCB103,VIRAT KOHLI
RCB104,ANUJ RAWAT
RCB105,DINESH KARTHIK
RCB106,SUYASH S PRABHUDESSAI
RCB107,WILL JACKS
RCB108,DAVID WILLEY
RCB109,GLENN MAXWELL
RCB110,MAHIPAL LOMROR
RCB111,WANINDU HASARANGA
RCB112,KARN SHARMA
RCB113,MICHAEL BRACEWELL
RCB114,SONU YADAV
RCB115,MANOJ BHANDAGE
RCB116,HARSHAL PATEL
RCB117,SHAHBAZ AHAMAD
RCB118,AKASH DEEP
RCB119,JOSH HAZLEWOOD
RCB120,SIDDHARTH KAUL
RCB121,MOHAMMED SIRAJ
RCB122,REECE TOPLEY
RCB123,HIMANSHU SHARMA
RCB124,RAJAN KUMAR
RCB125,VYSHAK VIJAY KUMAR
RCB126,WAYNE PARNELL
RCB127,AVINASH SINGH
SRH100,ABDUL SAMAD
SRH101,AIDEN MARKRAM
SRH102,RAHUL TRIPATHI
SRH103,GLENN PHILLIPS
SRH104,HARRY BROOK
SRH105,MAYANK AGARWAL
SRH106,HEINRICH KLAASEN
SRH107,ANMOLPREET SINGH
SRH108,UPENDRA SINGH YADAV
SRH109,NITISH KUMAR REDDY
SRH110,ABHISHEK SHARMA
SRH111,MARCO JANSEN
SRH112,WASHINGTON SUNDAR
SRH113,VIVRANT SHARMA
SRH114,MAYANK DAGAR
SRH115,SAMARTH VYAS
SRH116,SANVIR SINGH
SRH117,BHUVNESHWAR KUMAR
SRH118,FAZALHAQ FAROOQI
SRH119,KARTIK TYAGI
SRH120,T NATARAJAN
SRH121,UMRAN MALIK
SRH122,AKEAL HOSEIN
SRH123,ADIL RASHID
SRH124,MAYANK MARKANDE
